id,family,spcode,treatment,LA,SLA,LMA,LDMC,leaf_fresh_weight,leaf_dry_weight
5,legume,ec,ambientrain,0.00424718,0.023336154,42.85196295,0.268041237,0.68,0.182
6,legume,ec,ambientrain,0.00240549,0.013216978,75.66026049,0.326164875,0.56,0.182
7,legume,ec,ambientrain,0.00532261,0.010818313,92.43585384,0.313176321,1.57,0.492
8,legume,ec,ambientrain,0.00197916,0.023284235,42.94751309,0.240112994,0.35,0.085
9,legume,ec,ambientrain_water_nutrients,0.00142568,0.011225827,89.08029852,0.391975309,0.32,0.127
10,legume,ec,ambientrain_water_nutrients,0.00900788,0.022078137,45.2936762,0.282157676,1.45,0.408
11,legume,ec,ambientrain_water_nutrients,0.00505577,0.018794684,53.20653432,0.267130089,1.01,0.269
12,legume,ec,ambientrain_water_nutrients,0.00525161,0.009311365,107.3956368,0.293444329,1.92,0.564
13,legume,ec,ambientrain_water,0.00193416,0.011793659,84.7913306,0.382284382,0.43,0.164
14,legume,ec,ambientrain_water,0.00333823,0.009620259,103.9473014,0.392978482,0.88,0.347
15,legume,ec,ambientrain_water,0.00350512,0.010686341,93.57739535,0.362030905,0.91,0.328
16,legume,ec,ambientrain_water,0.00331986,0.009539828,104.8236974,0.390572391,0.89,0.348
17,legume,ec,ambientrain_nutrients,0.00325307,0.010009446,99.90562761,0.372279496,0.87,0.325
18,legume,ec,ambientrain_nutrients,0.00310978,0.013821244,72.35238506,0.328467153,0.69,0.225
19,legume,ec,ambientrain_nutrients,0.00478453,0.011584818,86.31986841,0.405299313,1.02,0.413
20,legume,ec,ambientrain_nutrients,0.00720167,0.015554363,64.2906437,0.364566929,1.27,0.463
25,legume,hc,ambientrain,0.00285499,0.009677932,103.3278575,0.515734266,0.57,0.295
26,legume,hc,ambientrain,0.00241721,0.009121547,109.6305244,0.539714868,0.49,0.265
27,legume,hc,ambientrain,0.00248648,0.010026129,99.73939062,0.494023904,0.5,0.248
28,legume,hc,ambientrain,0.00313212,0.010169221,98.33595137,0.561020036,0.55,0.308
29,legume,hc,ambientrain_water_nutrients,0.0033313,0.008883467,112.5686669,0.554733728,0.68,0.375
30,legume,hc,ambientrain_water_nutrients,0.00295571,0.009819635,101.8367837,0.518072289,0.58,0.301
31,legume,hc,ambientrain_water_nutrients,0.0036494,0.009192443,108.7850058,0.549100968,0.72,0.397
32,legume,hc,ambientrain_water_nutrients,0.00445663,0.009970089,100.3000025,0.528994083,0.85,0.447
33,legume,hc,ambientrain_water,0.005127,0.011521348,86.79539692,0.47542735,0.94,0.445
34,legume,hc,ambientrain_water,0.00271665,0.010529651,94.96990779,0.469945355,0.55,0.258
35,legume,hc,ambientrain_water,0.00334359,0.010010749,99.89263038,0.478510029,0.7,0.334
36,legume,hc,ambientrain_water,0.00266437,0.010572897,94.58145828,0.513238289,0.49,0.252
37,legume,hc,ambientrain_nutrients,0.0025982,0.010269565,97.37510584,0.489361702,0.52,0.253
38,legume,hc,ambientrain_nutrients,0.00475141,0.009796722,102.074963,0.524891775,0.92,0.485
39,legume,hc,ambientrain_nutrients,0.00282922,0.010068399,99.32066082,0.49471831,0.57,0.281
40,legume,hc,ambientrain_nutrients,0.00274951,0.009854875,101.472626,0.547058824,0.51,0.279
45,nonlegume,sg,ambientrain,0.00461617,0.012277048,81.45280611,0.394543547,0.95,0.376
46,nonlegume,sg,ambientrain,0.0039184,0.010284514,97.23356472,0.45035461,0.85,0.381
47,nonlegume,sg,ambientrain,0.00198826,0.019492745,51.30113768,0.295652174,0.35,0.102
48,nonlegume,sg,ambientrain,0.00452874,0.011980794,83.46692458,0.413114754,0.92,0.378
49,nonlegume,sg,ambientrain_water_nutrients,0.00455177,0.009443506,105.8928724,0.424669604,1.14,0.482
50,nonlegume,sg,ambientrain_water_nutrients,0.00522997,0.011444136,87.38099836,0.402998236,1.13,0.457
51,nonlegume,sg,ambientrain_water_nutrients,0.00343193,0.01110657,90.03680145,0.399224806,0.77,0.309
52,nonlegume,sg,ambientrain_water_nutrients,0.00387228,0.011095358,90.12778002,0.421497585,0.83,0.349
53,nonlegume,sg,ambientrain_water,0.00522984,0.012481718,80.11717376,0.394538606,1.06,0.419
54,nonlegume,sg,ambientrain_water,0.00354047,0.010537113,94.90265417,0.436931079,0.77,0.336
55,nonlegume,sg,ambientrain_water,0.00338721,0.00903256,110.7105848,0.46641791,0.8,0.375
56,nonlegume,sg,ambientrain_water,0.00394133,0.011391127,87.78762499,0.416365824,0.83,0.346
57,nonlegume,sg,ambientrain_nutrients,0.0037682,0.010986006,91.02489252,0.417783191,0.82,0.343
58,nonlegume,sg,ambientrain_nutrients,0.00483673,0.010537538,94.89882627,0.427374302,1.07,0.459
59,nonlegume,sg,ambientrain_nutrients,0.00350496,0.009103792,109.8443349,0.43258427,0.89,0.385
60,nonlegume,sg,ambientrain_nutrients,0.00291498,0.009652252,103.6027691,0.433908046,0.7,0.302
65,nonlegume,sm,ambientrain,0.00195505,0.01136657,87.97728958,0.487252125,0.35,0.172
66,nonlegume,sm,ambientrain,0.00448323,0.010829058,92.34413581,0.520754717,0.8,0.414
67,nonlegume,sm,ambientrain,0.00411227,0.011328567,88.27241402,0.476377953,0.76,0.363
68,nonlegume,sm,ambientrain,0.00347268,0.013835378,72.27847081,0.443462898,0.57,0.251
69,nonlegume,sm,ambientrain_water_nutrients,0.00663949,0.014496703,68.98120187,0.426443203,1.07,0.458
70,nonlegume,sm,ambientrain_water_nutrients,0.00829421,0.01425122,70.16943145,0.435628743,1.34,0.582
71,nonlegume,sm,ambientrain_water_nutrients,0.0063429,0.013409937,74.57156821,0.367807154,1.29,0.473
72,nonlegume,sm,ambientrain_water_nutrients,0.00887304,0.014451205,69.19838071,0.362669817,1.69,0.614
73,nonlegume,sm,ambientrain_water,0.00371382,0.01345587,74.31701052,0.416289593,0.66,0.276
74,nonlegume,sm,ambientrain_water,0.00255213,0.010678368,93.64726718,0.458733205,0.52,0.239
75,nonlegume,sm,ambientrain_water,0.00562645,0.009958319,100.4185588,0.574186992,0.98,0.565
76,nonlegume,sm,ambientrain_water,0.00791947,0.014914256,67.04994147,0.386744355,1.37,0.531
77,nonlegume,sm,ambientrain_nutrients,0.00664429,0.012607761,79.31622491,0.395348837,1.33,0.527
78,nonlegume,sm,ambientrain_nutrients,0.00345531,0.011255081,88.84875742,0.382316314,0.8,0.307
79,nonlegume,sm,ambientrain_nutrients,0.00709919,0.01834416,54.51326137,0.324937028,1.19,0.387
80,nonlegume,sm,ambientrain_nutrients,0.01396633,0.016183465,61.79146562,0.412721186,2.09,0.863
85,nonlegume,pq,ambientrain,0.00315354,0.020215,49.46821667,0.320987654,0.49,0.156
86,nonlegume,pq,ambientrain,0.00397254,0.017347336,57.64573799,0.289873418,0.79,0.229
87,nonlegume,pq,ambientrain,0.00358974,0.018408923,54.32148289,0.316558442,0.62,0.195
88,nonlegume,pq,ambientrain,0.00255897,0.014964737,66.82376112,0.382550336,0.45,0.171
89,nonlegume,pq,ambientrain_water_nutrients,0.0057428,0.020437011,48.93083513,0.271497585,1.04,0.281
90,nonlegume,pq,ambientrain_water_nutrients,0.00735935,0.020672331,48.37383736,0.294701987,1.21,0.356
91,nonlegume,pq,ambientrain_water_nutrients,0.00812469,0.017472452,57.23295289,0.330490405,1.41,0.465
92,nonlegume,pq,ambientrain_water_nutrients,0.00548788,0.014712815,67.96795848,0.353219697,1.06,0.373
93,nonlegume,pq,ambientrain_water,0.00360281,0.020587486,48.57319703,0.262762763,0.67,0.175
94,nonlegume,pq,ambientrain_water,0.00172765,0.017105446,58.46091512,0.282913165,0.36,0.101
95,nonlegume,pq,ambientrain_water,0.00193497,0.017752018,56.33162271,0.324404762,0.34,0.109
96,nonlegume,pq,ambientrain_water,0.00161297,0.019433373,51.45786964,0.25304878,0.33,0.083
97,nonlegume,pq,ambientrain_nutrients,0.00501207,0.019203333,52.07429266,0.296928328,0.88,0.261
98,nonlegume,pq,ambientrain_nutrients,0.00559258,0.02292041,43.62923731,0.271714922,0.9,0.244
99,nonlegume,pq,ambientrain_nutrients,0.0055902,0.01736087,57.6008014,0.296228151,1.09,0.322
100,nonlegume,pq,ambientrain_nutrients,0.0031838,0.01641134,60.93347572,0.300775194,0.65,0.194
105,legume,gs,ambientrain,0.00831459,0.012317911,81.18259589,0.288708298,2.34,0.675
106,legume,gs,ambientrain,0.0040991,0.014484452,69.03954527,0.240646259,1.18,0.283
107,legume,gs,ambientrain,0.00703572,0.014300244,69.92887722,0.271523179,1.81,0.492
108,legume,gs,ambientrain,0.0050489,0.015071343,66.35108638,0.264822134,1.27,0.335
109,legume,gs,ambientrain_water_nutrients,0.01134191,0.015952053,62.68785416,0.268707483,2.65,0.711
110,legume,gs,ambientrain_water_nutrients,0.00995339,0.014789584,67.61515423,0.259945925,2.59,0.673
111,legume,gs,ambientrain_water_nutrients,0.00771056,0.016835284,59.39905792,0.25572306,1.79,0.458
112,legume,gs,ambientrain_water_nutrients,0.00982282,0.013796096,72.48427641,0.296666667,2.4,0.712
113,legume,gs,ambientrain_water,0.0061778,0.014040455,71.22276539,0.257159556,1.71,0.44
114,legume,gs,ambientrain_water,0.00594895,0.015214706,65.7258844,0.269469331,1.45,0.391
115,legume,gs,ambientrain_water,0.00818567,0.011182609,89.42456757,0.328545781,2.23,0.732
116,legume,gs,ambientrain_water,0.00447625,0.012503492,79.97765987,0.310763889,1.15,0.358
117,legume,gs,ambientrain_nutrients,0.0100953,0.015090135,66.26846156,0.328424153,2.04,0.669
118,legume,gs,ambientrain_nutrients,0.00996229,0.015614875,64.0415005,0.268405553,2.38,0.638
119,legume,gs,ambientrain_nutrients,0.00628784,0.014258141,70.1353724,0.29205298,1.51,0.441
120,legume,gs,ambientrain_nutrients,0.00900645,0.015968883,62.62178772,0.286731063,1.97,0.564
126,legume,dr,ambientrain,0.00871681,0.014036731,71.24165836,0.332619175,1.87,0.621
127,legume,dr,ambientrain,0.01292157,0.01415287,70.65704864,0.353328173,2.58,0.913
128,legume,dr,ambientrain,0.00989003,0.016906034,59.1504778,0.323561947,1.81,0.585
129,legume,dr,ambientrain_water_nutrients,0.01060058,0.014344493,69.71316664,0.309853249,2.39,0.739
130,legume,dr,ambientrain_water_nutrients,0.01093136,0.014104981,70.89694237,0.335788562,2.31,0.775
131,legume,dr,ambientrain_water_nutrients,0.01147232,0.013973593,71.56355471,0.350555081,2.34,0.821
132,legume,dr,ambientrain_water_nutrients,0.01128904,0.013552269,73.78838236,0.385648148,2.16,0.833
133,legume,dr,ambientrain_water,0.00803905,0.013353904,74.88447018,0.32860262,1.83,0.602
134,legume,dr,ambientrain_water,0.00799511,0.013928763,71.79388401,0.355417957,1.62,0.574
135,legume,dr,ambientrain_water,0.0100127,0.012594591,79.39916306,0.356023287,2.23,0.795
136,legume,dr,ambientrain_water,0.00898884,0.014687647,68.08442469,0.337562052,1.81,0.612
137,legume,dr,ambientrain_nutrients,0.00686285,0.012827757,77.95595124,0.401049475,1.33,0.535
138,legume,dr,ambientrain_nutrients,0.00821543,0.015213759,65.72997396,0.325301205,1.66,0.54
139,legume,dr,ambientrain_nutrients,0.00728692,0.017772976,56.26519847,0.253555968,1.62,0.41
140,legume,dr,ambientrain_nutrients,0.00917681,0.013655967,73.22806073,0.326848249,2.06,0.672
145,nonlegume,to,ambientrain,0.00236324,0.021681101,46.12311911,0.372013652,0.29,0.109
146,nonlegume,to,ambientrain,0.0020843,0.020041346,49.89684786,0.383763838,0.27,0.104
147,nonlegume,to,ambientrain,0.00158521,0.01741989,57.40564342,0.40625,0.22,0.091
148,nonlegume,to,ambientrain,0.00237209,0.01960405,51.00986893,0.398026316,0.3,0.121
149,nonlegume,to,ambientrain_water_nutrients,0.00341351,0.016025869,62.39911411,0.416829746,0.51,0.213
150,nonlegume,to,ambientrain_water_nutrients,0.0044834,0.017513281,57.09952268,0.385542169,0.66,0.256
151,nonlegume,to,ambientrain_water_nutrients,0.00511923,0.019101604,52.35162319,0.382310984,0.7,0.268
152,nonlegume,to,ambientrain_water_nutrients,0.00453607,0.020432748,48.94104368,0.354632588,0.63,0.222
153,nonlegume,to,ambientrain_water,0.001361,0.016597561,60.24981631,0.448087432,0.18,0.082
154,nonlegume,to,ambientrain_water,0.00171728,0.016355048,61.14320321,0.413385827,0.25,0.105
155,nonlegume,to,ambientrain_water,0.00180829,0.016589817,60.27794214,0.42578125,0.26,0.109
156,nonlegume,to,ambientrain_water,0.004025,0.018548387,53.91304348,0.397435897,0.55,0.217
157,nonlegume,to,ambientrain_nutrients,0.00352284,0.015316696,65.28823336,0.427509294,0.54,0.23
158,nonlegume,to,ambientrain_nutrients,0.00540203,0.018757049,53.31329148,0.374512354,0.77,0.288
159,nonlegume,to,ambientrain_nutrients,0.00606422,0.019436603,51.44932077,0.370106762,0.84,0.312
160,nonlegume,to,ambientrain_nutrients,0.00983267,0.019018704,52.5798181,0.396472393,1.3,0.517
